OTU,new_name,level,qualifier,qualifier_level
Zotu2,Lutjanus kasmira,species,Metazoa,kingdom
Zotu4,Naso lituratus,species,Metazoa,kingdom
Zotu6,Acanthurus nigrofuscus,species,Metazoa,kingdom
Zotu7,Scarus rubroviolaceus,species,Metazoa,kingdom
Zotu11,Halichoeres ornatissimus,species,Metazoa,kingdom
Zotu12,Encrasicholina punctifer,species,Metazoa,kingdom
Zotu14,Ctenochaetus hawaiiensis,species,Metazoa,kingdom
Zotu15,Acanthurus nigricans,species,Metazoa,kingdom
Zotu16,Fistulariidae,family,Metazoa,kingdom
Zotu18,Anampses chrysocephalus,species,Metazoa,kingdom
Zotu19,Chlorurus spilurus,species,Metazoa,kingdom
Zotu20,Apogonidae,family,Metazoa,kingdom
Zotu22,Chlorurus spilurus,species,Metazoa,kingdom
Zotu27,Gymnothorax,genus,Metazoa,kingdom
Zotu29,Calotomus carolinus,species,Metazoa,kingdom
Zotu37,Apogonidae,family,Metazoa,kingdom
Zotu38,Calotomus carolinus,species,Metazoa,kingdom
Zotu39,Abudefduf vaigiensis,species,Metazoa,kingdom
Zotu47,Xanthichthys auromarginatus,species,Metazoa,kingdom
Zotu49,Schindleria,genus,Metazoa,kingdom
Zotu50,Ctenochaetus strigosus,species,Metazoa,kingdom
Zotu60,Parupeneus,genus,Metazoa,kingdom
Zotu64,Ctenochaetus hawaiiensis,species,Metazoa,kingdom
Zotu87,Muraenidae,family,Metazoa,kingdom
Zotu93,Encrasicholina,genus,Metazoa,kingdom